district,state,charter,enroll,lep,iep,frpl,white,expenditures
APPLING COUNTY,Georgia,3-All associated schools are noncharter,3612,246,490,2633,2136,41498000
ATKINSON COUNTY,Georgia,3-All associated schools are noncharter,1720,179,194,1541,764,17249000
ATLANTA PUBLIC SCHOOLS,Georgia,2-All associated schools are charter and noncharter,51500,2123,4926,39684,7752,927838000
BACON COUNTY,Georgia,3-All associated schools are noncharter,2145,123,344,1599,1346,21247000
BAKER COUNTY,Georgia,3-All associated schools are noncharter,323,NA,51,320,74,4530000
BALDWIN COUNTY,Georgia,3-All associated schools are noncharter,5417,45,556,4520,1523,54609000
BANKS COUNTY,Georgia,3-All associated schools are noncharter,2822,96,438,1794,2427,29676000
BARROW COUNTY,Georgia,3-All associated schools are noncharter,13429,918,1749,7812,8189,152058000
BARTOW COUNTY,Georgia,3-All associated schools are noncharter,13794,610,1657,8075,10281,135641000
BEN HILL COUNTY,Georgia,3-All associated schools are noncharter,3284,92,474,3235,1421,35054000
BERRIEN COUNTY,Georgia,2-All associated schools are charter and noncharter,3121,64,382,2607,2372,35849000
BIBB COUNTY,Georgia,2-All associated schools are charter and noncharter,24457,427,2303,24235,4533,278372000
BLECKLEY COUNTY,Georgia,3-All associated schools are noncharter,2511,9,369,1836,1697,23819000
BRANTLEY COUNTY,Georgia,3-All associated schools are noncharter,3486,15,409,2863,3224,34312000
BREMEN CITY,Georgia,3-All associated schools are noncharter,2222,7,192,532,1987,25602000
BROOKS COUNTY,Georgia,3-All associated schools are noncharter,2141,84,249,2052,716,22243000
BRYAN COUNTY,Georgia,3-All associated schools are noncharter,8781,106,837,3292,6098,78724000
BUFORD CITY,Georgia,3-All associated schools are noncharter,4330,487,415,1762,2359,62034000
BULLOCH COUNTY,Georgia,3-All associated schools are noncharter,10324,300,1361,6476,5292,100239000
BURKE COUNTY,Georgia,3-All associated schools are noncharter,4320,31,500,4305,1178,57772000
BUTTS COUNTY,Georgia,3-All associated schools are noncharter,3454,23,418,3001,2060,36083000
CALHOUN CITY,Georgia,3-All associated schools are noncharter,4093,533,350,2458,2228,35241000
CALHOUN COUNTY,Georgia,3-All associated schools are noncharter,652,NA,74,641,7,7960000
CAMDEN COUNTY,Georgia,3-All associated schools are noncharter,9033,66,1122,4594,5575,84688000
CANDLER COUNTY,Georgia,3-All associated schools are noncharter,2181,71,274,1551,1078,20420000
CARROLL COUNTY,Georgia,3-All associated schools are noncharter,14842,336,2022,9432,10046,150120000
CARROLLTON CITY,Georgia,3-All associated schools are noncharter,4935,284,527,2790,2094,56337000
CARTERSVILLE CITY,Georgia,3-All associated schools are noncharter,4283,373,403,2410,2215,43402000
CATOOSA COUNTY,Georgia,3-All associated schools are noncharter,10823,120,1782,5379,9534,108876000
CENTRAL SAVANNAH RIVER RESA,Georgia,†,NA,NA,NA,NA,NA,3102000
CHARLTON COUNTY,Georgia,3-All associated schools are noncharter,1699,8,140,1234,1072,17342000
CHATTAHOOCHEE COUNTY,Georgia,3-All associated schools are noncharter,884,16,140,603,465,10007000
CHATTAHOOCHEE-FLINT RESA,Georgia,†,NA,NA,NA,NA,NA,2705000
CHATTOOGA COUNTY,Georgia,3-All associated schools are noncharter,2789,64,464,2145,2215,33104000
CHEROKEE COUNTY,Georgia,3-All associated schools are noncharter,41291,2564,4760,12691,29125,430063000
CHICKAMAUGA CITY,Georgia,3-All associated schools are noncharter,1350,4,73,309,1311,12611000
CITY SCHOOLS OF DECATUR,Georgia,3-All associated schools are noncharter,4858,82,411,692,3101,88714000
CLARKE COUNTY,Georgia,2-All associated schools are charter and noncharter,13205,1354,1652,12159,2715,203537000
CLAY COUNTY,Georgia,3-All associated schools are noncharter,270,NA,37,261,8,4179000
CLAYTON COUNTY,Georgia,2-All associated schools are charter and noncharter,54136,4967,5599,53869,1428,516208000
CLINCH COUNTY,Georgia,3-All associated schools are noncharter,1393,11,151,1192,786,14183000
COASTAL PLAINS RESA,Georgia,†,NA,NA,NA,NA,NA,3196000
COBB COUNTY,Georgia,2-All associated schools are charter and noncharter,112708,11253,14390,49682,43963,1244411000
COFFEE COUNTY,Georgia,3-All associated schools are noncharter,7768,561,714,6556,3701,78124000
COLQUITT COUNTY,Georgia,3-All associated schools are noncharter,9633,1306,1119,9155,4079,95035000
COLUMBIA COUNTY,Georgia,3-All associated schools are noncharter,26118,472,2027,8685,15817,257240000
COMMERCE CITY,Georgia,3-All associated schools are noncharter,1545,69,202,979,1089,14968000
COMMISSION CHARTER SCHOOLS- ATLANTA HEIGHTS CHARTER SCHOOL,Georgia,1-All associated schools are charter schools,739,18,52,687,1,7056000
COMMISSION CHARTER SCHOOLS- CCAT SCHOOL,Georgia,1-All associated schools are charter schools,155,NA,22,70,116,1521000
COMMISSION CHARTER SCHOOLS- COWETA CHARTER ACADEMY,Georgia,1-All associated schools are charter schools,820,9,70,95,653,6169000
COMMISSION CHARTER SCHOOLS- FULTON LEADERSHIP ACADEMY,Georgia,1-All associated schools are charter schools,386,NA,58,246,0,3712000
COMMISSION CHARTER SCHOOLS- IVY PREPARATORY ACADEMY SCHOOL,Georgia,1-All associated schools are charter schools,272,NA,19,99,0,2963000
COMMISSION CHARTER SCHOOLS- PATAULA CHARTER ACADEMY,Georgia,1-All associated schools are charter schools,518,9,58,322,400,5922000
COOK COUNTY,Georgia,3-All associated schools are noncharter,3295,112,393,2676,1775,28820000
COWETA COUNTY,Georgia,3-All associated schools are noncharter,22425,581,2302,9616,13955,218698000
CRAWFORD COUNTY,Georgia,3-All associated schools are noncharter,1733,11,295,1632,1237,17143000
CRISP COUNTY,Georgia,3-All associated schools are noncharter,4212,68,554,4125,1419,47101000
DADE COUNTY,Georgia,3-All associated schools are noncharter,2152,9,403,1260,2035,23425000
DALTON PUBLIC SCHOOLS,Georgia,3-All associated schools are noncharter,7966,1321,704,5994,1691,85383000
DAWSON COUNTY,Georgia,3-All associated schools are noncharter,3469,86,501,1602,3103,55649000
DECATUR COUNTY,Georgia,3-All associated schools are noncharter,5320,203,579,5031,1985,52551000
DEKALB COUNTY,Georgia,2-All associated schools are charter and noncharter,101389,15127,9806,73193,11117,1132871000
DEPARTMENT OF CORRECTIONS,Georgia,3-All associated schools are noncharter,19,NA,16,NA,2,NA
DEPARTMENT OF HUMAN RESOURCES,Georgia,3-All associated schools are noncharter,100,NA,97,NA,56,NA
DEPARTMENT OF JUVENILE JUSTICE,Georgia,3-All associated schools are noncharter,539,NA,310,NA,84,NA
DEPARTMENT OF LABOR,Georgia,3-All associated schools are noncharter,NA,NA,NA,NA,NA,NA
DODGE COUNTY,Georgia,3-All associated schools are noncharter,3216,50,451,2600,1860,35391000
DOOLY COUNTY,Georgia,3-All associated schools are noncharter,1414,110,142,1405,127,14307000
DOUGHERTY COUNTY,Georgia,2-All associated schools are charter and noncharter,15194,257,1373,15125,1020,172205000
DOUGLAS COUNTY,Georgia,2-All associated schools are charter and noncharter,26016,1438,3227,16060,7269,268885000
DUBLIN CITY,Georgia,3-All associated schools are noncharter,2568,17,282,2550,154,28967000
EARLY COUNTY,Georgia,3-All associated schools are noncharter,2226,10,345,2144,613,25633000
ECHOLS COUNTY,Georgia,3-All associated schools are noncharter,827,172,63,751,411,9267000
EFFINGHAM COUNTY,Georgia,3-All associated schools are noncharter,11844,124,1938,4701,8705,120202000
ELBERT COUNTY,Georgia,3-All associated schools are noncharter,3079,87,312,2617,1570,32416000
EMANUEL COUNTY,Georgia,3-All associated schools are noncharter,4313,73,546,3779,2036,41753000
EVANS COUNTY,Georgia,3-All associated schools are noncharter,1857,197,204,1848,702,19120000
FANNIN COUNTY,Georgia,3-All associated schools are noncharter,2951,43,363,1759,2740,39854000
FAYETTE COUNTY,Georgia,3-All associated schools are noncharter,20088,745,1873,5275,10170,232136000
FIRST DISTRICT RESA,Georgia,†,NA,NA,NA,NA,NA,8096000
FLOYD COUNTY,Georgia,3-All associated schools are noncharter,10040,337,1441,6038,7926,123771000
FORSYTH COUNTY,Georgia,3-All associated schools are noncharter,44286,2356,5392,7325,29077,540691000
FRANKLIN COUNTY,Georgia,3-All associated schools are noncharter,3640,111,491,2157,2814,37323000
FULTON COUNTY,Georgia,2-All associated schools are charter and noncharter,95641,6352,9842,45322,28058,1217111000
GAINESVILLE CITY,Georgia,3-All associated schools are noncharter,8035,2502,726,6163,1311,76319000
GILMER COUNTY,Georgia,3-All associated schools are noncharter,4209,579,368,3000,3083,47426000
GLASCOCK COUNTY,Georgia,3-All associated schools are noncharter,581,NA,55,327,527,6214000
GLYNN COUNTY,Georgia,3-All associated schools are noncharter,13374,714,1719,8309,6481,148720000
GORDON COUNTY,Georgia,3-All associated schools are noncharter,6842,373,734,4464,5364,64494000
GRADY COUNTY,Georgia,2-All associated schools are charter and noncharter,4610,360,436,4088,2044,43363000
GREENE COUNTY,Georgia,2-All associated schools are charter and noncharter,2427,101,246,2392,788,35986000
GRIFFIN RESA,Georgia,†,NA,NA,NA,NA,NA,3883000
GRIFFIN-SPALDING COUNTY,Georgia,3-All associated schools are noncharter,10261,264,1084,7821,4293,116180000
GWINNETT COUNTY,Georgia,2-All associated schools are charter and noncharter,176052,23234,20950,95774,45058,1830204000
HABERSHAM COUNTY,Georgia,3-All associated schools are noncharter,6860,827,1102,4345,4399,75674000
HALL COUNTY,Georgia,2-All associated schools are charter and noncharter,27210,4796,3146,16150,13700,266840000
HANCOCK COUNTY,Georgia,3-All associated schools are noncharter,980,NA,133,971,18,14543000
HARALSON COUNTY,Georgia,3-All associated schools are noncharter,3538,20,554,1875,3201,36875000
HARRIS COUNTY,Georgia,3-All associated schools are noncharter,5289,19,495,2044,3876,51970000
HART COUNTY,Georgia,3-All associated schools are noncharter,3507,87,404,2158,2230,46207000
HEARD COUNTY,Georgia,3-All associated schools are noncharter,2033,NA,286,1354,1698,23856000
HEART OF GEORGIA RESA,Georgia,†,NA,NA,NA,NA,NA,5711000
HENRY COUNTY,Georgia,2-All associated schools are charter and noncharter,41820,826,5424,21487,13879,414712000
HOUSTON COUNTY,Georgia,2-All associated schools are charter and noncharter,28530,870,3307,17322,13193,290797000
IRWIN COUNTY,Georgia,3-All associated schools are noncharter,1779,3,301,1342,1084,22306000
JACKSON COUNTY,Georgia,3-All associated schools are noncharter,7446,316,988,3789,5599,76516000
JASPER COUNTY,Georgia,3-All associated schools are noncharter,2426,54,270,1646,1599,23518000
JEFF DAVIS COUNTY,Georgia,3-All associated schools are noncharter,3098,264,376,2702,1911,28845000
JEFFERSON CITY,Georgia,3-All associated schools are noncharter,3389,80,359,976,2662,29846000
JEFFERSON COUNTY,Georgia,3-All associated schools are noncharter,2751,39,339,2668,683,27729000
JENKINS COUNTY,Georgia,3-All associated schools are noncharter,1235,35,126,1226,448,15481000
JOHNSON COUNTY,Georgia,3-All associated schools are noncharter,1163,8,143,1049,603,11722000
JONES COUNTY,Georgia,3-All associated schools are noncharter,5500,12,697,2808,3793,51909000
LAMAR COUNTY,Georgia,3-All associated schools are noncharter,2741,17,297,1952,1671,25594000
LANIER COUNTY,Georgia,3-All associated schools are noncharter,1793,11,229,1715,1181,18401000
LAURENS COUNTY,Georgia,3-All associated schools are noncharter,6545,51,581,4171,4275,64858000
LEE COUNTY,Georgia,3-All associated schools are noncharter,6428,113,553,2708,4532,57754000
LIBERTY COUNTY,Georgia,3-All associated schools are noncharter,9985,82,1081,6751,2637,110154000
LINCOLN COUNTY,Georgia,3-All associated schools are noncharter,1198,NA,136,818,688,14026000
LONG COUNTY,Georgia,3-All associated schools are noncharter,3489,187,394,2681,1707,29742000
LOWNDES COUNTY,Georgia,3-All associated schools are noncharter,10539,244,1323,5331,6654,94808000
LUMPKIN COUNTY,Georgia,3-All associated schools are noncharter,3731,74,513,1891,3269,39626000
MACON COUNTY,Georgia,3-All associated schools are noncharter,1524,42,170,1515,109,17036000
MADISON COUNTY,Georgia,3-All associated schools are noncharter,4855,237,795,3014,3633,55322000
MARIETTA CITY,Georgia,3-All associated schools are noncharter,8896,1458,873,5703,1666,112279000
MARION COUNTY,Georgia,3-All associated schools are noncharter,1459,40,150,1238,785,14564000
MCDUFFIE COUNTY,Georgia,3-All associated schools are noncharter,4213,40,554,3191,1713,46090000
MCINTOSH COUNTY,Georgia,3-All associated schools are noncharter,1484,7,175,1250,767,24939000
MERIWETHER COUNTY,Georgia,3-All associated schools are noncharter,2921,12,528,2619,1072,30891000
METRO RESA,Georgia,†,NA,NA,NA,NA,NA,11935000
MIDDLE GEORGIA RESA,Georgia,†,NA,NA,NA,NA,NA,2848000
MILLER COUNTY,Georgia,3-All associated schools are noncharter,1047,11,98,943,638,10993000
MITCHELL COUNTY,Georgia,2-All associated schools are charter and noncharter,2421,48,259,2373,757,33060000
MONROE COUNTY,Georgia,3-All associated schools are noncharter,4010,15,448,2058,2764,50984000
MONTGOMERY COUNTY,Georgia,3-All associated schools are noncharter,1410,31,122,936,701,12276000
MORGAN COUNTY,Georgia,2-All associated schools are charter and noncharter,3190,50,347,1520,1973,37313000
MURRAY COUNTY,Georgia,3-All associated schools are noncharter,7635,725,689,5857,5720,64742000
MUSCOGEE COUNTY,Georgia,2-All associated schools are charter and noncharter,31899,873,4061,23427,8368,311414000
NEWTON COUNTY,Georgia,3-All associated schools are noncharter,19709,580,2540,13656,6562,201363000
NORTH GEORGIA RESA,Georgia,†,NA,NA,NA,NA,NA,3309000
NORTHEAST GEORGIA RESA,Georgia,†,NA,NA,NA,NA,NA,9390000
NORTHWEST GEORGIA RESA,Georgia,†,NA,NA,NA,NA,NA,7685000
OCONEE COUNTY,Georgia,3-All associated schools are noncharter,7271,205,805,1493,5798,76232000
OCONEE RESA,Georgia,†,NA,NA,NA,NA,NA,3168000
OGLETHORPE COUNTY,Georgia,3-All associated schools are noncharter,2127,70,270,1217,1457,25592000
OKEFENOKEE RESA,Georgia,†,NA,NA,NA,NA,NA,3300000
PAULDING COUNTY,Georgia,3-All associated schools are noncharter,28643,505,3657,11913,18408,285757000
PEACH COUNTY,Georgia,3-All associated schools are noncharter,3672,197,504,3213,1127,36946000
PELHAM CITY,Georgia,3-All associated schools are noncharter,1473,39,152,1464,548,15752000
PICKENS COUNTY,Georgia,3-All associated schools are noncharter,4350,30,622,2326,4003,48030000
PIERCE COUNTY,Georgia,3-All associated schools are noncharter,3630,117,361,2168,2950,36446000
PIKE COUNTY,Georgia,3-All associated schools are noncharter,3406,9,315,1379,2998,29651000
PIONEER RESA,Georgia,†,NA,NA,NA,NA,NA,8337000
POLK COUNTY,Georgia,3-All associated schools are noncharter,7804,554,1096,6489,4685,84768000
PULASKI COUNTY,Georgia,3-All associated schools are noncharter,1391,39,176,1190,693,13868000
PUTNAM COUNTY,Georgia,3-All associated schools are noncharter,2863,157,439,2113,1263,35999000
QUITMAN COUNTY,Georgia,3-All associated schools are noncharter,317,NA,42,311,73,4916000
RABUN COUNTY,Georgia,3-All associated schools are noncharter,2268,117,280,1495,1815,32183000
RANDOLPH COUNTY,Georgia,3-All associated schools are noncharter,1032,3,147,902,26,12276000
RICHMOND COUNTY,Georgia,2-All associated schools are charter and noncharter,31476,447,3044,30468,5472,352069000
ROCKDALE COUNTY,Georgia,3-All associated schools are noncharter,16601,672,1667,11751,2573,184063000
ROME CITY,Georgia,3-All associated schools are noncharter,6221,764,640,5143,1667,63447000
SAVANNAH-CHATHAM COUNTY,Georgia,2-All associated schools are charter and noncharter,38323,1056,4232,25062,10902,464459000
SCHLEY COUNTY,Georgia,3-All associated schools are noncharter,1338,3,142,738,1031,12747000
SCREVEN COUNTY,Georgia,3-All associated schools are noncharter,2268,20,432,1793,1055,22641000
SEMINOLE COUNTY,Georgia,3-All associated schools are noncharter,1567,15,112,1451,787,16622000
SOCIAL CIRCLE CITY,Georgia,3-All associated schools are noncharter,1696,10,192,832,1184,17192000
SOUTHWEST GEORGIA RESA,Georgia,†,NA,NA,NA,NA,NA,2449000
STATE CHARTER SCHOOLS- CHEROKEE CHARTER ACADEMY,Georgia,1-All associated schools are charter schools,927,17,93,200,619,8398000
STATE CHARTER SCHOOLS- DUBOIS INTEGRITY ACADEMY I,GEORGIA,3-All associated schools are noncharter,578,NA,19,528,0,5111000
STATE CHARTER SCHOOLS- FOOTHILLS CHARTER HIGH SCHOOL (MADISO,GEORGIA,3-All associated schools are noncharter,870,18,149,0,492,4789000
STATE CHARTER SCHOOLS- GEORGIA CONNECTIONS ACADEMY,Georgia,1-All associated schools are charter schools,3881,15,391,1755,2024,25141000
STATE CHARTER SCHOOLS- GEORGIA CYBER ACADEMY,GEORGIA,1-All associated schools are charter schools,13916,27,1745,9589,7197,75954000
STATE CHARTER SCHOOLS- GEORGIA SCHOOL FOR INNOVATION AND THE,GEORGIA,3-All associated schools are noncharter,470,NA,40,0,327,3312000
STATE CHARTER SCHOOLS- INTERNATIONAL CHARTER SCHOOL OF ATLAN,GEORGIA,3-All associated schools are noncharter,384,NA,16,7,160,3220000
STATE CHARTER SCHOOLS- IVY PREP ACADEMY AT KIRKWOOD FOR GIR,Georgia,3-All associated schools are noncharter,392,NA,14,236,1,3833000
STATE CHARTER SCHOOLS- IVY PREPARATORY YOUNG MEN'S LEADERSH,Georgia,1-All associated schools are charter schools,328,NA,22,190,0,2526000
STATE CHARTER SCHOOLS- MOUNTAIN EDUCATION CENTER SCHOOL,Georgia,1-All associated schools are charter schools,1601,57,247,1108,1407,12826000
STATE CHARTER SCHOOLS- ODYSSEY SCHOOL,Georgia,1-All associated schools are charter schools,371,12,59,96,199,4050000
STATE CHARTER SCHOOLS- PROVOST ACADEMY GEORGIA,Georgia,1-All associated schools are charter schools,1864,22,234,1352,417,10339000
STATE CHARTER SCHOOLS- SCINTILLA CHARTER ACADEMY,GEORGIA,3-All associated schools are noncharter,397,3,47,231,178,9483000
STATE CHARTER SCHOOLS- UTOPIAN ACADEMY FOR THE ARTS CHARTER,GEORGIA,3-All associated schools are noncharter,231,NA,18,196,1,2042000
STATE SCHOOLS- ATLANTA AREA SCHOOL FOR THE DEAF,Georgia,3-All associated schools are noncharter,179,3,179,134,27,NA
STATE SCHOOLS- GEORGIA ACADEMY FOR THE BLIND,Georgia,3-All associated schools are noncharter,108,NA,108,70,43,NA
STATE SCHOOLS- GEORGIA SCHOOL FOR THE DEAF,Georgia,3-All associated schools are noncharter,107,NA,107,68,38,NA
STEPHENS COUNTY,Georgia,3-All associated schools are noncharter,4092,39,558,2971,3085,36856000
STEWART COUNTY,Georgia,3-All associated schools are noncharter,518,NA,69,509,28,7944000
SUMTER COUNTY,Georgia,3-All associated schools are noncharter,4797,241,542,4743,700,50967000
TALBOT COUNTY,Georgia,3-All associated schools are noncharter,517,NA,56,514,44,7141000
TALIAFERRO COUNTY,Georgia,3-All associated schools are noncharter,166,3,33,160,18,3960000
TATTNALL COUNTY,Georgia,3-All associated schools are noncharter,3755,225,451,3331,1986,34578000
TAYLOR COUNTY,Georgia,3-All associated schools are noncharter,1451,3,145,1184,818,16000000
TELFAIR COUNTY,Georgia,3-All associated schools are noncharter,1748,35,163,1640,902,17329000
TERRELL COUNTY,Georgia,3-All associated schools are noncharter,1448,10,196,1436,72,15985000
THOMAS COUNTY,Georgia,2-All associated schools are charter and noncharter,5777,79,906,4483,3161,61562000
THOMASTON-UPSON COUNTY,Georgia,3-All associated schools are noncharter,4213,36,529,3443,2379,46606000
THOMASVILLE CITY,Georgia,3-All associated schools are noncharter,2909,13,266,2313,1110,36458000
TIFT COUNTY,Georgia,3-All associated schools are noncharter,7834,615,857,7420,3370,81850000
TOOMBS COUNTY,Georgia,3-All associated schools are noncharter,3040,272,396,3025,1562,33055000
TOWNS COUNTY,Georgia,3-All associated schools are noncharter,1051,17,125,592,987,13510000
TREUTLEN COUNTY,Georgia,3-All associated schools are noncharter,1202,4,125,1196,639,10776000
TRION CITY,Georgia,3-All associated schools are noncharter,1423,72,123,669,1114,14949000
TROUP COUNTY,Georgia,3-All associated schools are noncharter,12468,370,1086,8272,5742,124018000
TURNER COUNTY,Georgia,3-All associated schools are noncharter,1412,22,206,1350,468,15840000
TWIGGS COUNTY,Georgia,3-All associated schools are noncharter,828,3,112,819,280,15012000
UNION COUNTY,Georgia,3-All associated schools are noncharter,2766,20,381,1680,2585,38766000
VALDOSTA CITY,Georgia,3-All associated schools are noncharter,7836,235,993,7812,1164,97410000
VIDALIA CITY,Georgia,3-All associated schools are noncharter,4517,39,315,2870,2083,28797000
WALKER COUNTY,Georgia,3-All associated schools are noncharter,9030,63,1444,6513,7785,96082000
WALTON COUNTY,Georgia,3-All associated schools are noncharter,13934,282,1325,6792,9248,150487000
WARE COUNTY,Georgia,3-All associated schools are noncharter,6169,132,970,5557,3176,70398000
WARREN COUNTY,Georgia,3-All associated schools are noncharter,637,NA,73,628,43,8235000
WASHINGTON COUNTY,Georgia,3-All associated schools are noncharter,3100,14,337,2561,952,33066000
WAYNE COUNTY,Georgia,3-All associated schools are noncharter,5575,105,723,3856,3574,65854000
WEBSTER COUNTY,Georgia,3-All associated schools are noncharter,398,3,39,226,186,4797000
WEST GEORGIA RESA,Georgia,†,NA,NA,NA,NA,NA,8095000
WHEELER COUNTY,Georgia,3-All associated schools are noncharter,999,39,121,993,569,11403000
WHITE COUNTY,Georgia,3-All associated schools are noncharter,3844,56,484,2189,3468,42626000
WHITFIELD COUNTY,Georgia,3-All associated schools are noncharter,13278,1810,1596,9497,7054,145473000
WILCOX COUNTY,Georgia,3-All associated schools are noncharter,1215,8,131,1141,686,12650000
WILKES COUNTY,Georgia,3-All associated schools are noncharter,1605,16,196,1505,566,18547000
WILKINSON COUNTY,Georgia,3-All associated schools are noncharter,1520,23,152,1435,555,19372000
WORTH COUNTY,Georgia,3-All associated schools are noncharter,3366,36,314,3117,2001,32791000
Totals:,n/a,n/a,1757237,112006,202308,1096426,721134,19356755000
